:START_ID,:END_ID,:TYPE
Q1,Q1454986,Related
Q156,Q174211,Related
Q233,Q3624078,Related
Q233,Q112099,Related
Q233,Q185441,Related
Q233,Q179164,Related
Q233,Q160016,Related
Q233,Q6505795,Related
Q277,Q10373548,Related
Q155,Q3624078,Related
Q155,Q6814224,Related
Q155,Q6256,Related
Q155,Q859563,Related
Q155,Q4209223,Related
Q155,Q160016,Related
Q155,Q6316828,Related
Q8,Q331769,Related
Q8,Q9415,Related
Q278,Q10373548,Related
Q83,Q6686945,Related
Q83,Q341,Related
Q42,Q5,Related
Q45,Q185441,Related
Q45,Q3624078,Related
Q45,Q6256,Related
Q163,Q1138494,Related
Q284,Q199360,Related
Q286,Q1074,Related
Q281,Q199360,Related
Q148,Q3624078,Related
Q148,Q6256,Related
Q148,Q6688521,Related
Q148,Q317,Related
Q228,Q6256,Related
Q228,Q3624078,Related
Q228,Q160016,Related
Q228,Q6505795,Related
Q228,Q123480,Related
Q228,Q208500,Related
Q100,Q515,Related
Q100,Q1549591,Related
Q144,Q16521,Related
Q103,Q7366,Related
Q102,Q101991,Related
Q51,Q5107,Related
Q55,Q15304003,Related
Q55,Q1763527,Related
Q55,Q7275,Related
Q99,Q35657,Related
Q217,Q3624078,Related
Q217,Q179164,Related
Q217,Q123480,Related
Q217,Q6256,Related
Q217,Q160016,Related
Q217,Q6505795,Related
Q216,Q515,Related
Q216,Q5119,Related
Q216,Q1363145,Related
Q178,Q192874,Related
Q177,Q2095,Related
Q210,Q11352,Related
Q298,Q6256,Related
Q298,Q3624078,Related
Q136,Q208440,Related
Q257,Q81392,Related
Q257,Q36161,Related
Q62,Q13218382,Related
Q62,Q1549591,Related
Q62,Q515,Related
Q218,Q185441,Related
Q218,Q3624078,Related
Q218,Q6256,Related
Q24,Q15632617,Related
Q68,Q12468333,Related
Q23,Q5,Related
Q140,Q16521,Related
Q220,Q515,Related
Q220,Q747074,Related
Q220,Q5119,Related
Q183,Q3624078,Related
Q183,Q185441,Related
Q183,Q6256,Related
Q183,Q43702,Related
Q183,Q160016,Related
Q183,Q6505795,Related
Q183,Q7270,Related
Q183,Q619610,Related
Q183,Q4209223,Related
Q183,Q7275,Related
Q129,Q41825,Related
Q244,Q202686,Related
Q244,Q7275,Related
Q244,Q112099,Related
Q288,Q484170,Related
Q166,Q165,Related
Q202,Q21199,Related
Q202,Q50707,Related
Q202,Q467511,Related
Q202,Q50705,Related
Q202,Q13366104,Related
Q202,Q190890,Related
Q202,Q975166,Related
Q207,Q5,Related
Q31,Q3624078,Related
Q31,Q43702,Related
Q31,Q185441,Related
Q31,Q6256,Related
Q31,Q160016,Related
Q31,Q6505795,Related
Q75,Q1301371,Related
Q33,Q3624078,Related
Q33,Q6256,Related
Q33,Q185441,Related
Q33,Q160016,Related
Q33,Q6505795,Related
Q33,Q179164,Related
Q297,Q5,Related
Q291,Q483394,Related
Q293,Q16521,Related
